CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
59;1;8581;;4081
59;1;4081;8581;4082
59;1;4082;4081;4093
59;1;4093;4082;4094
59;1;4094;4093;8207
59;1;8207;4094;4096
59;1;4096;8207;8208
59;1;8208;4096;8206
59;1;8206;8208;4098
59;1;4098;8206;4099
59;1;4099;4098;4952
59;1;4952;4099;4100
59;1;4100;4952;8209
59;1;8209;4100;4101
59;1;4101;8209;4001
59;1;4001;4101;4002
59;1;4002;4001;4003
59;1;4003;4002;4004
59;1;4004;4003;4007
59;1;4007;4004;4008
59;1;4008;4007;4009
59;1;4009;4008;
59;1;4950;;4949
59;1;4949;4950;8577
59;1;8577;4949;4948
59;1;4948;8577;8578
59;1;8578;4948;4947
59;1;4947;8578;4946
59;1;4946;4947;4945
59;1;4945;4946;4112
59;1;4112;4945;4113
59;1;4113;4112;4055
59;1;4055;4113;4057
59;1;4057;4055;4058
59;1;4058;4057;4059
59;1;4059;4058;4060
59;1;4060;4059;4061
59;1;4061;4060;9377
59;1;9377;4061;4062
59;1;4062;9377;4063
59;1;4063;4062;4064
59;1;4064;4063;4073
59;1;4073;4064;4065
59;1;4065;4073;4067
59;1;4067;4065;4068
59;1;4068;4067;4069
59;1;4069;4068;4070
59;1;4070;4069;4071
59;1;4071;4070;4072
59;1;4072;4071;4011
59;1;4011;4072;4012
59;1;4012;4011;4013
59;1;4013;4012;4014
59;1;4014;4013;4015
59;1;4015;4014;4016
59;1;4016;4015;4017
59;1;4017;4016;4018
59;1;4018;4017;4019
59;1;4019;4018;4124
59;1;4124;4019;4125
59;1;4125;4124;4126
59;1;4126;4125;4127
59;1;4127;4126;4128
59;1;4128;4127;4129
59;1;4129;4128;4130
59;1;4130;4129;
59;1;1691;3118;1693
59;1;1693;1691;1696
59;1;1696;1693;1699
59;1;1699;1696;3000
59;1;3000;1699;3001
59;1;3001;3000;3002
59;1;3002;3001;3004
59;1;3004;3002;3006
59;1;3006;3004;3023
59;1;3023;3006;3027
59;1;3027;3023;3030
59;1;3030;3027;3032
59;1;3032;3030;3035
59;1;3035;3032;3036
59;1;3036;3035;3037
59;1;3037;3036;3038
59;1;3038;3037;3040
59;1;3040;3038;3578
59;1;3578;3040;3042
59;1;3042;3578;3045
59;1;3045;3042;3047
59;1;3047;3045;3048
59;1;3048;3047;3049
59;1;3049;3048;3050
59;1;3050;3049;3051
59;1;3051;3050;3053
59;1;3053;3051;3054
59;1;3054;3053;3055
59;1;3055;3054;3056
59;1;3056;3055;3057
59;1;3057;3056;3059
59;1;3059;3057;3060
59;1;3060;3059;3579
59;1;3579;3060;3061
59;1;3061;3579;3062
59;1;3062;3061;3063
59;1;3063;3062;3064
59;1;3064;3063;3065
59;1;3065;3064;3067
59;1;3067;3065;3070
59;1;3070;3067;3071
59;1;3071;3070;3072
59;1;3072;3071;3074
59;1;3074;3072;3076
59;1;3076;3074;3077
59;1;3077;3076;3078
59;1;3078;3077;3079
59;1;3079;3078;3080
59;1;3080;3079;3081
59;1;3081;3080;3082
59;1;3082;3081;3083
59;1;3083;3082;3084
59;1;3084;3083;3085
59;1;3085;3084;3087
59;1;3087;3085;3580
59;1;3580;3087;3089
59;1;3089;3580;3090
59;1;3090;3089;3091
59;1;3091;3090;3093
59;1;3093;3091;3095
59;1;3095;3093;3097
59;1;3097;3095;3100
59;1;3100;3097;3103
59;1;3103;3100;3106
59;1;3106;3103;3109
59;1;3109;3106;3112
59;1;3112;3109;3115
59;1;3115;3112;3118
59;1;3118;3115;1691
59;1;154;;1492
59;1;1492;154;155
59;1;155;1492;1494
59;1;1494;155;157
59;1;157;1494;1495
59;1;1495;157;1496
59;1;1496;1495;1497
59;1;1497;1496;1498
59;1;1498;1497;1499
59;1;1499;1498;1500
59;1;1500;1499;1501
59;1;1501;1500;160
59;1;160;1501;1502
59;1;1502;160;1503
59;1;1503;1502;
59;1;7403;;7404
59;1;7404;7403;7405
59;1;7405;7404;7406
59;1;7406;7405;7407
59;1;7407;7406;7408
59;1;7408;7407;7409
59;1;7409;7408;7410
59;1;7410;7409;7411
59;1;7411;7410;7412
59;1;7412;7411;7413
59;1;7413;7412;7414
59;1;7414;7413;7415
59;1;7415;7414;7416
59;1;7416;7415;7417
59;1;7417;7416;7418
59;1;7418;7417;7419
59;1;7419;7418;7420
59;1;7420;7419;
59;1;7421;;7422
59;1;7422;7421;7423
59;1;7423;7422;
59;1;1951;;1952
59;1;1952;1951;1953
59;1;1953;1952;1954
59;1;1954;1953;1955
59;1;1955;1954;1956
59;1;1956;1955;1957
59;1;1957;1956;1958
59;1;1958;1957;1959
59;1;1959;1958;1960
59;1;1960;1959;1961
59;1;1961;1960;1962
59;1;1962;1961;1963
59;1;1963;1962;1964
59;1;1964;1963;1965
59;1;1965;1964;1966
59;1;1966;1965;
59;1;7545;;7546
59;1;7546;7545;7547
59;1;7547;7546;8463
59;1;8463;7547;7548
59;1;7548;8463;7549
59;1;7549;7548;7550
59;1;7550;7549;7551
59;1;7551;7550;7552
59;1;7552;7551;2400
59;1;2400;7552;2401
59;1;2401;2400;1990
59;1;1990;2401;
59;1;701;;704
59;1;704;701;705
59;1;705;704;706
59;1;706;705;707
59;1;707;706;
59;1;9022;;9023
59;1;9023;9022;9021
59;1;9021;9023;9020
59;1;9020;9021;9019
59;1;9019;9020;9018
59;1;9018;9019;7315
59;1;7315;9018;7316
59;1;7316;7315;7317
59;1;7317;7316;7318
59;1;7318;7317;7319
59;1;7319;7318;7320
59;1;7320;7319;7321
59;1;7321;7320;7322
59;1;7322;7321;7330
59;1;7330;7322;7331
59;1;7331;7330;7332
59;1;7332;7331;7324
59;1;7324;7332;7325
59;1;7325;7324;7334
59;1;7334;7325;7335
59;1;7335;7334;7336
59;1;7336;7335;7337
59;1;7337;7336;7338
59;1;7338;7337;
59;1;7105;;7106
59;1;7106;7105;7108
59;1;7108;7106;7109
59;1;7109;7108;7110
59;1;7110;7109;7111
59;1;7111;7110;7112
59;1;7112;7111;7113
59;1;7113;7112;7114
59;1;7114;7113;7115
59;1;7115;7114;7116
59;1;7116;7115;
59;1;9136;;8854
59;1;8854;9136;
59;1;8856;;8857
59;1;8857;8856;8858
59;1;8858;8857;8859
59;1;8859;8858;
59;1;9318;;9319
59;1;9319;9318;
59;1;3662;;3663
59;1;3663;3662;3664
59;1;3664;3663;3665
59;1;3665;3664;3666
59;1;3666;3665;3667
59;1;3667;3666;3521
59;1;3521;3667;3522
59;1;3522;3521;3523
59;1;3523;3522;3524
59;1;3524;3523;
59;1;8808;;8809
59;1;8809;8808;8810
59;1;8810;8809;8811
59;1;8811;8810;8812
59;1;8812;8811;8813
59;1;8813;8812;8814
59;1;8814;8813;8815
59;1;8815;8814;8816
59;1;8816;8815;8817
59;1;8817;8816;
59;1;8437;;8438
59;1;8438;8437;8439
59;1;8439;8438;8440
59;1;8440;8439;9161
59;1;9161;8440;9162
59;1;9162;9161;9163
59;1;9163;9162;
59;1;4133;;8579
59;1;8579;4133;4134
59;1;4134;8579;4135
59;1;4135;4134;4136
59;1;4136;4135;4021
59;1;4021;4136;4022
59;1;4022;4021;4137
59;1;4137;4022;4138
59;1;4138;4137;8441
59;1;8441;4138;4139
59;1;4139;8441;
59;1;4042;;4043
59;1;4043;4042;4044
59;1;4044;4043;4045
59;1;4045;4044;4046
59;1;4046;4045;4047
59;1;4047;4046;4048
59;1;4048;4047;4049
59;1;4049;4048;8442
59;1;8442;4049;4140
59;1;4140;8442;4141
59;1;4141;4140;
59;1;108;;109
59;1;109;108;110
59;1;110;109;112
59;1;112;110;113
59;1;113;112;114
59;1;114;113;116
59;1;116;114;8056
59;1;8056;116;
59;1;807;;809
59;1;809;807;808
59;1;808;809;810
59;1;810;808;811
59;1;811;810;812
59;1;812;811;813
59;1;813;812;3631
59;1;3631;813;3632
59;1;3632;3631;4951
59;1;4951;3632;
59;1;7073;;7075
59;1;7075;7073;7077
59;1;7077;7075;7078
59;1;7078;7077;7079
59;1;7079;7078;7081
59;1;7081;7079;7082
59;1;7082;7081;7083
59;1;7083;7082;7084
59;1;7084;7083;7085
59;1;7085;7084;7087
59;1;7087;7085;7088
59;1;7088;7087;7089
59;1;7089;7088;7090
59;1;7090;7089;7091
59;1;7091;7090;7092
59;1;7092;7091;7100
59;1;7100;7092;7093
59;1;7093;7100;7094
59;1;7094;7093;7095
59;1;7095;7094;7096
59;1;7096;7095;7097
59;1;7097;7096;
59;1;8873;;8872
59;1;8872;8873;8871
59;1;8871;8872;8870
59;1;8870;8871;7018
59;1;7018;8870;7021
59;1;7021;7018;7023
59;1;7023;7021;7024
59;1;7024;7023;7025
59;1;7025;7024;7027
59;1;7027;7025;7028
59;1;7028;7027;7029
59;1;7029;7028;7030
59;1;7030;7029;7032
59;1;7032;7030;
59;1;286;;285
59;1;285;286;284
59;1;284;285;283
59;1;283;284;282
59;1;282;283;281
59;1;281;282;280
59;1;280;281;279
59;1;279;280;278
59;1;278;279;277
59;1;277;278;276
59;1;276;277;275
59;1;275;276;274
59;1;274;275;
59;1;7232;;7233
59;1;7233;7232;7234
59;1;7234;7233;7235
59;1;7235;7234;7236
59;1;7236;7235;7237
59;1;7237;7236;7238
59;1;7238;7237;7239
59;1;7239;7238;7240
59;1;7240;7239;7241
59;1;7241;7240;7242
59;1;7242;7241;7243
59;1;7243;7242;7244
59;1;7244;7243;7245
59;1;7245;7244;4148
59;1;4148;7245;
59;1;8582;;8583
59;1;8583;8582;7226
59;1;7226;8583;7228
59;1;7228;7226;7230
59;1;7230;7228;
59;1;8801;;8802
59;1;8802;8801;8803
59;1;8803;8802;8804
59;1;8804;8803;8805
59;1;8805;8804;8806
59;1;8806;8805;
59;1;4024;;7426
59;1;7426;4024;7427
59;1;7427;7426;7428
59;1;7428;7427;7429
59;1;7429;7428;7430
59;1;7430;7429;7431
59;1;7431;7430;7432
59;1;7432;7431;7433
59;1;7433;7432;7434
59;1;7434;7433;7435
59;1;7435;7434;7436
59;1;7436;7435;7437
59;1;7437;7436;7438
59;1;7438;7437;7439
59;1;7439;7438;
59;1;9551;;3638
59;1;3638;9551;3639
59;1;3639;3638;1836
59;1;1836;3639;1837
59;1;1837;1836;2114
59;1;2114;1837;
59;1;9150;;791
59;1;791;9150;792
59;1;792;791;793
59;1;793;792;3593
59;1;3593;793;794
59;1;794;3593;795
59;1;795;794;796
59;1;796;795;3619
59;1;3619;796;797
59;1;797;3619;3618
59;1;3618;797;798
59;1;798;3618;799
59;1;799;798;3999
59;1;3999;799;5001
59;1;5001;3999;5002
59;1;5002;5001;7948
59;1;7948;5002;5003
59;1;5003;7948;7949
59;1;7949;5003;5004
59;1;5004;7949;5005
59;1;5005;5004;4562
