CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
508;18;3137;P;1;12;;141831;175813;;155;;;873;1;1;1;1;1;1;;;+12327950;+4210387;0;0
508;18;1311;P;1;12;;141831;141751;;155;;;873;1;1;1;1;1;1;;;+12320700;+4212864;0;0
508;18;1312;P;1;11;;141831;141752;;155;;;873;1;1;1;1;1;1;;;+12318193;+4218423;0;0
508;18;1313;P;1;12;;141831;141753;;155;;;873;1;1;1;1;1;1;;;+12305402;+4236001;0;0
508;18;1314;P;1;11;;141831;141754;;155;;;873;1;1;1;1;1;1;;;+12289195;+4233139;0;0
508;18;1315;P;1;12;;141831;141755;;155;;;873;1;1;1;1;1;1;;;+12287826;+4234353;0;0
508;18;1335;P;1;11;;141771;141833;;155;;1334;;1;1;1;1;1;1;;;+12244202;+4186382;0;0
508;18;1336;P;1;12;;141771;141774;;155;;1334;;1;1;1;1;1;1;;;+12262350;+4191311;0;0
508;18;1337;P;1;12;;141771;141725;;155;;1334;;1;1;1;1;1;1;;;+12272946;+4195383;0;0
508;18;1338;P;1;12;;141771;141775;;155;;1334;;1;1;1;1;1;1;;;+12275276;+4200365;0;0
508;18;1339;P;1;10;;141771;140990;;155;;1334;;1;1;1;1;1;1;;;+12281611;+4200832;0;0
508;18;1341;P;1;10;;141771;142136;;155;;1334;;1;1;1;1;1;1;;;+12285104;+4200627;0;1
508;18;1342;P;1;3;;141771;141770;;155;;1334;;1;1;1;1;1;1;;;+12286190;+4195953;0;0
508;18;1343;P;1;10;;141771;141721;;155;;1334;;1;1;1;1;1;1;;;+12296037;+4185915;0;0
508;18;1344;P;1;12;;141771;141778;;155;;1334;;1;1;1;1;1;1;;;+12306493;+4178495;0;0
508;18;1345;P;1;12;;141771;141779;;155;;1334;;1;1;1;1;1;1;;;+12315404;+4178912;0;0
508;18;3139;P;1;12;;141771;175706;;155;;1334;;1;1;1;1;1;1;;;+12319048;+4178879;1386;0
508;18;1386;P;1;10;;141771;142139;;155;;1385;;1;1;1;1;1;1;;;+12350059;+4184301;3139;1
508;18;1387;P;1;10;;141771;142140;;155;;1385;;1;1;1;1;1;1;;;+12356145;+4192182;0;1
508;18;1388;P;1;8;;141771;145956;;155;;1385;;1;1;1;1;1;1;;;+12357467;+4193245;0;1
508;18;1389;P;1;10;;141771;175710;;155;;1385;;1;1;1;1;1;1;;;+12361602;+4202652;0;0
508;18;1390;P;1;10;;141771;163716;;155;;1385;;1;1;1;1;1;1;;;+12365160;+4210649;0;0
508;18;3138;P;1;13;;140960;175815;;155;;;483;1;1;1;1;1;1;;;+12322740;+4178915;0;0
508;18;1346;P;1;10;;140960;175816;;155;;;483;1;1;1;1;1;1;;;+12325686;+4178412;0;1
